,OwnerAge,Gender,Area,RiskClass,VehAge,BonusClass,Exposure,ClaimNb,ClaimAmount,ClaimOcc
0,43.12388,1,4.199777,5.2796507,17,7.093797,0.97468245,0,0.0,0
1,56.65143,1,6.5285807,2.5787337,9,6.099084,0.8511516,0,0.0,0
2,47.321457,1,2.7075996,5.8858466,16,0.914299,0.3618286,0,0.0,0
3,52.9675,1,1.7000742,2.865634,19,3.2767677,0.9872571,0,0.0,0
4,41.609524,1,2.0109782,3.4397674,17,7.058914,0.252749,0,0.0,0
5,30.143303,1,1.9361942,1.6666298,11,2.753571,1.0,0,0.0,0
6,41.31073,1,3.1378605,1.3200004,5,2.4209504,1.0,0,0.0,0
7,62.479973,1,3.5414686,0.99987555,10,1.4784715,0.6934092,0,0.0,0
8,25.938046,1,3.0443487,4.295907,19,0.8817353,0.9089997,0,0.0,0
9,53.06962,1,3.304343,0.97308016,3,1.3689852,1.0,1,1567.1387,1
10,38.04787,1,2.4085977,2.7862642,1,6.937672,0.9730325,0,0.0,0
11,50.825737,1,2.0889773,3.6237729,14,6.781123,0.9928446,0,0.0,0
12,35.694183,0,1.9126763,2.9727614,10,4.7465825,0.9744239,0,0.0,0
13,34.171646,1,2.0200238,2.10642,0,6.8521233,0.88644373,1,41605.87,1
14,43.741734,1,2.5736485,3.1381717,7,3.5520906,0.6962304,0,0.0,0
15,50.528305,1,2.0488458,3.4952273,21,4.16406,0.5324368,0,0.0,0
16,24.204515,1,4.9180565,2.1658716,8,5.5936275,0.09014523,0,0.0,0
17,30.695103,0,2.94952,6.2113957,11,4.2862415,0.95161533,0,0.0,0
18,22.646456,1,3.5268526,2.4781766,20,3.0473032,0.046533227,0,0.0,0
19,43.999783,1,2.05185,4.6069584,20,7.099201,0.9767641,0,0.0,0
20,48.91418,1,1.7590504,4.8299546,3,2.4131994,0.25624222,0,0.0,0
21,24.696077,1,2.2402658,5.2363763,2,3.2411356,0.98231876,0,0.0,0
22,32.658443,1,2.5188534,1.2469246,15,3.690671,1.0,0,0.0,0
23,40.01289,0,2.3710556,2.7674437,5,0.8194077,0.89891565,0,0.0,0
24,36.492958,1,0.71968436,4.08639,11,4.617985,1.0,0,0.0,0
25,23.107756,0,2.4834826,2.6191258,13,1.4895432,0.084322035,0,0.0,0
26,24.978271,0,4.349304,1.1021543,16,1.5428576,0.9685588,0,0.0,0
27,29.570402,1,2.8833323,2.8145728,4,1.0924149,0.4253331,1,3041.0762,1
28,39.413895,1,2.6985564,1.2888801,11,0.9299526,0.99905306,0,0.0,0
29,25.657501,0,3.225747,3.7742088,18,6.091299,0.23626468,0,0.0,0
30,23.92317,1,4.6428676,3.177024,21,4.951396,0.7483248,0,0.0,0
31,38.70115,1,5.47128,4.870955,12,5.090814,0.9868054,0,0.0,0
32,61.260857,0,3.5529318,2.0182986,14,4.8903875,0.601848,0,0.0,0
33,44.431526,0,1.7002926,6.189107,5,6.7446923,0.95723486,0,0.0,0
34,44.0372,1,2.5639365,3.6531596,6,1.1184313,0.98247796,0,0.0,0
35,31.024418,1,6.926986,2.1949546,3,5.576807,0.11180222,0,0.0,0
36,61.37216,1,4.387985,2.8145535,6,6.592962,0.9393678,0,0.0,0
37,38.8779,1,4.6479445,5.1731997,15,3.0556774,0.7204434,0,0.0,0
38,46.15426,1,2.9366167,3.746949,10,5.346965,0.28817242,0,0.0,0
39,45.769093,1,2.6002314,1.3153646,7,2.7123446,0.5250149,0,0.0,0
40,36.129295,1,2.813797,5.8504505,17,4.870474,0.95781076,0,0.0,0
41,23.949501,0,3.7692952,4.083722,2,1.3828521,0.3574612,0,0.0,0
42,34.746567,1,1.2816439,1.985725,21,6.044014,0.9892398,0,0.0,0
43,68.00791,1,4.0136833,2.9936533,17,1.8037143,0.97692764,0,0.0,0
44,55.579945,0,3.828939,1.0048103,13,2.5153785,0.998297,0,0.0,0
45,54.07683,1,1.9489583,6.159419,21,2.4893396,0.3844503,0,0.0,0
46,24.204454,1,3.2893345,0.96027493,4,1.1385312,0.9986564,0,0.0,0
47,50.67717,1,3.851313,2.600275,1,4.6510043,0.9756615,0,0.0,0
48,58.059395,1,1.9690653,1.2105093,3,6.973536,0.6452816,0,0.0,0
49,33.55314,1,2.106958,4.7532954,3,2.5544996,0.5762927,0,0.0,0
50,46.676666,1,3.04612,3.8431237,20,1.2183609,0.98292935,0,0.0,0
51,51.240433,1,3.3767269,4.523777,10,3.8859394,0.98465335,0,0.0,0
52,46.454712,1,3.6008642,5.66116,3,6.8771124,0.98133683,0,0.0,0
53,30.547813,1,1.959193,3.3177786,9,6.3580647,0.8237548,0,0.0,0
54,62.558407,1,4.241051,1.076024,17,4.2509212,0.23769993,0,0.0,0
55,30.623133,1,2.6769357,6.6594877,10,7.378767,0.9998718,0,0.0,0
56,49.96763,1,3.4459515,3.023654,1,0.70986986,0.2949535,0,0.0,0
57,29.82853,0,3.3746328,4.459486,7,6.650877,0.5120434,0,0.0,0
58,48.99638,1,2.0819933,1.7441012,16,3.5203795,0.87904567,0,0.0,0
59,30.114544,1,2.350207,1.0312626,13,3.192077,0.98861116,0,0.0,0
60,45.689896,1,2.764574,3.9667683,8,5.0258646,0.47314602,0,0.0,0
61,67.258896,1,3.1777534,5.8601413,17,2.6985147,0.06452751,0,0.0,0
62,42.361595,0,1.1524727,5.1031876,9,3.663968,0.28448611,0,0.0,0
63,51.21141,1,3.663583,3.4142082,7,6.525156,0.022465408,0,0.0,0
64,58.13195,1,1.813172,3.3964612,21,2.9319065,0.9683224,0,0.0,0
65,50.748337,1,1.3727083,6.175996,17,0.9156382,0.9925964,0,0.0,0
66,33.32535,1,5.1532555,3.6570969,9,6.925097,0.25384632,0,0.0,0
67,61.628357,1,3.361511,2.2870193,2,4.4065847,0.9770683,0,0.0,0
68,54.130203,1,0.93390465,3.5327432,21,5.943289,0.2240127,0,0.0,0
69,53.739346,1,2.4750044,1.0235212,7,7.0559006,0.40698048,0,0.0,0
70,57.11061,1,4.730504,6.0133634,5,3.9323635,0.6243552,0,0.0,0
71,44.77327,0,4.6604133,3.469851,18,4.4727693,0.4037579,0,0.0,0
72,61.263184,1,1.5131681,5.901738,3,6.82808,0.9181637,0,0.0,0
73,43.441048,1,4.1116576,5.787751,14,5.5236406,0.0,0,0.0,0
74,50.80868,1,1.4285724,5.964154,2,3.4109936,1.0,0,0.0,0
75,33.047726,1,4.4170527,4.958633,14,6.9559326,0.97351813,0,0.0,0
76,36.695755,0,3.0487194,1.1918948,8,1.1265376,0.18785214,0,0.0,0
77,56.00573,1,3.406826,5.926653,9,2.258366,0.108845234,0,0.0,0
78,38.74155,1,3.3274007,1.3977078,15,7.1152945,0.9970671,0,0.0,0
79,37.09434,1,2.809836,3.221427,16,5.426004,0.98301923,0,0.0,0
80,77.88226,1,3.909616,1.7439127,10,4.4369884,0.8893212,0,0.0,0
81,40.14976,1,5.0185456,3.4030359,2,5.7224107,0.5456131,0,0.0,0
82,37.33636,1,2.3153443,5.7572756,4,6.8970556,0.73859274,0,0.0,0
83,27.606155,0,2.90506,3.8814206,3,2.9558282,0.64260197,0,0.0,0
84,54.97728,1,1.0809176,3.81316,17,1.1391423,0.6413678,0,0.0,0
85,47.992435,1,2.241414,5.640704,16,2.0395079,0.4586925,0,0.0,0
86,53.856102,1,3.2418313,2.4185338,7,1.5835001,0.8861903,0,0.0,0
87,46.05197,1,3.303353,6.2932725,10,7.1719737,0.36736155,0,0.0,0
88,52.531113,0,3.0005887,4.3792014,3,6.815154,0.68213975,0,0.0,0
89,27.965778,1,2.2593799,0.85382414,4,6.988611,0.95987004,0,0.0,0
90,29.547697,1,4.147775,1.817994,9,7.0834885,0.54781824,0,0.0,0
91,31.369492,0,5.969302,6.1106024,8,7.0058775,0.1095947,0,0.0,0
92,59.21369,0,1.2455657,3.029124,13,7.141057,0.99898934,0,0.0,0
93,34.071037,0,2.96028,3.7988865,14,3.161335,0.94701505,0,0.0,0
94,43.501053,1,5.707046,5.7254124,11,4.145858,0.6633266,0,0.0,0
95,54.202988,1,3.1381204,3.033627,12,0.93589115,1.0,0,0.0,0
96,57.079132,0,3.5612361,3.4212852,21,6.1288953,0.46626475,0,0.0,0
97,25.40231,1,3.952289,2.1031592,19,2.2029424,0.35739377,0,0.0,0
98,27.753433,1,2.9038713,1.3934954,5,7.1970816,0.99111724,0,0.0,0
99,24.158691,1,3.2398345,4.703723,6,6.634429,0.99543893,0,0.0,0
100,59.513123,1,5.5772886,1.0249736,16,6.8460164,0.18908069,0,0.0,0
101,64.73909,0,1.4542435,5.013385,7,0.98839784,0.3852053,0,0.0,0
102,37.639336,1,3.9203353,2.4032729,9,5.234223,0.53035116,0,0.0,0
103,21.87838,1,1.1791123,6.2201757,19,0.9144738,1.0,0,0.0,0
104,42.257473,0,3.7653694,2.0188823,16,2.3034282,0.94336367,0,0.0,0
105,18.739296,0,3.8914156,6.104146,5,1.2111614,0.042793274,0,0.0,0
106,56.44072,1,1.4205906,3.4833026,6,7.057584,0.80018765,0,0.0,0
107,56.44999,1,2.094812,0.91191673,17,4.978594,0.92692786,0,0.0,0
108,47.17767,0,5.8530807,3.547458,4,6.5568666,0.061837792,0,0.0,0
109,30.243835,1,3.2741556,1.3303719,15,1.4668069,0.97028446,0,0.0,0
110,31.116861,0,3.2362304,1.8811132,3,5.969823,0.97865224,0,0.0,0
111,26.67039,1,2.6066298,6.614904,3,6.981736,0.4385321,0,0.0,0
112,54.84464,1,3.2501516,1.4954858,5,2.4641674,0.73206365,0,0.0,0
113,29.983292,1,2.549682,2.946041,13,4.728976,1.0,0,0.0,0
114,34.32605,1,3.6289942,5.930404,15,2.7944655,0.9930577,0,0.0,0
115,32.065613,1,3.8862352,2.9855394,3,5.900324,0.5614731,0,0.0,0
116,46.84281,0,3.4082792,4.616962,20,4.8085814,0.7952608,0,0.0,0
117,35.49827,1,1.9371449,6.06709,12,6.9893074,0.59399444,0,0.0,0
118,46.070423,1,3.3321946,1.7013373,18,7.174155,0.9813286,0,0.0,0
119,28.878307,1,2.1446474,3.37391,4,1.6724696,0.1746586,0,0.0,0
120,51.505722,1,1.3948857,1.3957409,10,5.1145964,0.31400302,0,0.0,0
121,55.384716,1,4.3256702,0.9650185,7,1.716799,0.9810813,0,0.0,0
122,48.868515,1,2.0436993,5.968319,3,5.6869955,0.08402556,0,0.0,0
123,70.418686,1,1.9206334,0.9738128,8,4.7195773,0.521449,0,0.0,0
124,22.636663,0,3.6108506,4.204098,4,4.7786574,0.1858775,0,0.0,0
125,53.476364,1,4.0830855,3.2697325,4,1.2032228,0.9984709,0,0.0,0
126,64.75095,1,1.9562621,4.2439394,12,0.8185506,0.80505747,0,0.0,0
127,25.633282,1,1.4378772,2.831908,14,1.9685619,0.605778,0,0.0,0
128,19.448,1,1.4448347,1.4301575,1,1.094934,0.99782866,0,0.0,0
129,47.815525,1,2.7189133,3.219081,3,5.766761,0.28814948,0,0.0,0
130,23.195555,1,4.4549074,1.9805307,11,2.9169312,0.31620005,0,0.0,0
131,48.27783,1,2.1546884,4.699795,19,6.1076765,0.3326318,0,0.0,0
132,58.714195,1,4.0043817,4.799036,16,5.648327,0.9696621,0,0.0,0
133,23.174625,1,3.1292853,2.972338,8,1.6357725,0.15910691,0,0.0,0
134,40.55056,1,1.1016425,5.5026436,17,1.5981028,0.97916913,0,0.0,0
135,25.504198,0,3.9030118,6.0114536,15,5.305669,0.0,0,0.0,0
136,53.481308,1,5.1195555,6.0476236,16,2.2444272,0.9432652,0,0.0,0
137,50.030014,1,1.572165,1.4733504,13,7.053113,0.94454,0,0.0,0
138,40.500664,1,2.6593354,4.666604,6,1.3192174,0.98783183,0,0.0,0
139,67.690475,1,4.422109,2.0772178,20,3.201231,1.0,0,0.0,0
140,30.704948,1,4.652644,0.92500067,7,1.688076,0.44323203,0,0.0,0
141,43.467632,0,4.4509196,4.5819182,3,0.99948645,0.26555613,0,0.0,0
142,47.165535,1,1.2702564,2.3035223,5,3.7879431,0.6393551,0,0.0,0
143,39.307938,1,1.4183701,3.5136433,2,1.181293,1.0,0,0.0,0
144,28.333483,1,3.9584193,0.94605947,1,4.425689,0.020400703,0,0.0,0
145,47.690742,1,1.8623261,1.0202167,5,3.0120864,0.9165222,0,0.0,0
146,24.45227,1,2.481381,1.8417653,4,3.204792,0.043608487,0,0.0,0
147,30.668934,1,2.6791565,6.1333504,8,4.861483,0.5468369,0,0.0,0
148,20.574446,1,4.3518467,2.488841,2,5.1882935,0.9709693,0,0.0,0
149,65.05488,1,3.5312283,1.4985868,13,2.3259454,0.52990896,0,0.0,0
150,22.786827,1,1.1383878,3.1189954,18,6.4820004,0.15123552,0,0.0,0
151,35.95086,1,2.527015,5.115651,13,2.831625,0.6021278,0,0.0,0
152,42.389946,1,1.4406546,2.0219939,20,1.1083446,0.5639386,0,0.0,0
153,43.674393,1,4.146586,2.6785982,8,5.043468,0.73598206,0,0.0,0
154,18.088516,1,5.4645643,2.2773857,4,2.3176515,0.34013548,0,0.0,0
155,50.62781,1,3.8203094,3.5909138,14,5.748171,0.51701516,0,0.0,0
156,66.42558,1,2.026713,1.7255137,17,1.3679173,0.32959223,0,0.0,0
157,51.48683,1,0.8606608,3.8441343,1,6.755521,0.98494554,0,0.0,0
158,52.948067,1,3.9217927,5.633873,15,7.2107964,0.98104954,0,0.0,0
159,43.337357,1,3.0342724,5.5465527,10,4.564789,0.3776436,0,0.0,0
160,63.26899,1,4.191351,2.662273,20,6.5414515,0.67566234,0,0.0,0
161,40.64538,1,1.1065625,5.8905272,12,3.6992788,0.11760777,0,0.0,0
162,50.708035,0,5.201467,0.9472089,4,6.356241,0.9715959,0,0.0,0
163,43.00538,1,1.3999075,1.8093333,8,2.8532097,0.85686654,0,0.0,0
164,47.139885,1,5.0014415,1.2409871,18,3.1466348,0.9856272,0,0.0,0
165,66.42434,1,3.2542624,4.6666474,9,6.865904,0.9849874,0,0.0,0
166,51.810196,1,1.0458432,5.8929367,1,7.22458,0.9807222,0,0.0,0
167,39.81995,0,2.23295,5.800145,13,2.576577,0.5229622,0,0.0,0
168,52.106678,1,5.808478,4.871932,15,5.4020996,0.91642296,0,0.0,0
169,30.03556,1,3.561904,1.8784837,11,2.8449297,0.9926758,0,0.0,0
170,30.329977,1,3.198633,3.4053059,13,5.4266872,0.036637783,0,0.0,0
171,42.25342,1,0.9245722,5.271889,7,7.0157638,0.24763644,0,0.0,0
172,32.00341,1,1.5732087,1.3013663,4,1.342169,0.11635268,0,0.0,0
173,25.464565,1,1.6383358,3.2131753,11,4.7625923,0.2331919,0,0.0,0
174,63.115128,1,2.7000134,2.3567555,19,7.0870447,0.47039744,0,0.0,0
175,47.980152,1,1.7872919,2.6596615,9,0.9781618,0.4574405,0,0.0,0
176,42.335083,1,2.4845347,1.0838776,10,1.9594185,1.0,0,0.0,0
177,38.918514,1,2.2456524,5.6314845,14,1.621074,0.35894126,0,0.0,0
178,41.76151,1,3.108262,1.0451384,19,7.0969343,0.99221563,0,0.0,0
179,39.00709,1,4.0556197,3.7903862,7,2.1892257,1.0,0,0.0,0
180,21.141176,1,1.6769489,2.0421376,14,1.5235162,0.08892661,0,0.0,0
181,45.415092,1,4.610247,5.1986203,17,0.85958505,0.06420505,0,0.0,0
182,27.26118,1,6.5353236,5.80235,1,1.3507645,0.56463504,0,0.0,0
183,48.038097,1,5.293031,1.1210237,13,6.868829,0.9656031,0,0.0,0
184,30.788177,1,1.0235002,2.998612,6,7.2430267,0.041728437,0,0.0,0
185,44.599705,1,2.641272,3.2093182,21,3.1292741,0.9148386,0,0.0,0
186,52.07997,0,2.1903434,0.9647567,3,3.670023,0.22298074,0,0.0,0
187,58.43897,1,1.2702194,1.9130911,12,3.8100665,1.0,0,0.0,0
