,OwnerAge,Gender,Area,RiskClass,VehAge,BonusClass,Exposure,ClaimNb,ClaimAmount,ClaimOcc
0,50.444366,1,3,2,3.9429727,4,0.67160594,0.0,0.0,0
1,27.15719,1,2,2,5.7652764,4,0.31610233,0.0,0.0,0
2,36.176315,0,3,6,8.080835,4,0.8429318,0.0,0.0,0
3,51.22158,1,3,2,15.906192,3,0.5836648,0.0,0.0,0
4,22.93255,1,4,6,11.1044,3,0.111817956,0.0,0.0,0
5,39.422985,1,3,2,5.55465,6,0.9954978,0.0,0.0,0
6,41.137135,1,2,4,6.640368,4,0.5034561,0.0,0.0,0
7,25.544796,1,5,3,12.028697,2,0.6277652,0.0,0.0,0
8,41.003216,1,3,2,9.865735,4,0.8685659,0.0,0.0,0
9,33.578445,1,3,4,7.367403,3,0.8262494,1.0,6406.649,1
10,29.380472,1,2,2,5.870513,4,0.63101125,0.0,0.0,0
11,38.875607,1,3,3,13.775945,4,0.9954828,0.0,0.0,0
12,39.476097,1,2,3,8.809439,6,0.97153294,0.0,0.0,0
13,41.16578,1,2,4,7.3722315,3,0.6131549,1.0,4556.609,1
14,31.86253,1,3,6,16.081015,3,0.6520898,0.0,0.0,0
15,41.437943,0,3,2,6.9071693,6,0.8669557,0.0,0.0,0
16,42.747234,1,4,3,7.654994,4,0.88620794,0.0,0.0,0
17,30.049515,1,2,4,3.9915357,4,0.74280965,0.0,0.0,0
18,43.4031,1,3,2,17.090488,2,0.2953145,0.0,0.0,0
19,57.693733,1,3,4,9.791048,5,0.81998897,0.0,0.0,0
20,58.968697,1,2,4,15.43535,4,0.6751774,0.0,0.0,0
21,54.981056,1,2,2,8.452812,3,0.630216,0.0,0.0,0
22,35.89756,1,3,6,5.031181,5,0.8919433,0.0,0.0,0
23,26.644773,1,3,4,7.8244405,2,0.5003563,0.0,0.0,0
24,39.539597,1,2,5,9.851095,3,0.46687555,0.0,0.0,0
25,21.07759,1,5,3,6.8528614,2,0.3283875,0.0,0.0,0
26,51.930035,1,5,2,4.4375095,4,0.5396999,0.0,0.0,0
27,44.410023,1,2,3,10.531956,7,0.897656,1.0,4084.9355,1
28,31.550098,0,3,5,14.273379,2,0.6619092,0.0,0.0,0
29,51.558712,1,3,2,14.060347,5,0.8837055,0.0,0.0,0
30,25.929817,1,5,6,16.84218,2,0.6897407,0.0,0.0,0
31,33.755474,1,3,6,8.80062,4,0.6787369,0.0,0.0,0
32,41.83766,0,2,5,13.335995,4,0.7352577,0.0,0.0,0
33,53.12147,1,3,2,15.985468,5,0.91897523,0.0,0.0,0
34,46.554005,1,3,7,12.637951,6,0.78307855,0.0,0.0,0
35,49.569164,1,3,3,0.5535698,6,0.7115639,0.0,0.0,0
36,47.085373,1,3,5,7.3438425,3,0.4547386,0.0,0.0,0
37,37.185555,1,3,6,8.651039,3,0.14241642,0.0,0.0,0
38,34.89217,1,2,2,15.511778,3,0.8405,0.0,0.0,0
39,36.699066,1,4,3,9.752691,5,0.934675,0.0,0.0,0
40,28.701073,1,2,2,14.288155,2,0.40818954,0.0,0.0,0
41,45.07309,1,3,4,7.6281614,4,0.7904085,0.0,0.0,0
42,42.89264,0,4,4,12.095187,6,0.93038356,0.0,0.0,0
43,31.258205,1,2,5,15.224237,3,0.658459,0.0,0.0,0
44,41.315037,1,3,3,16.351841,2,0.90610963,0.0,0.0,0
45,57.75946,1,3,3,15.592537,6,0.872429,0.0,0.0,0
46,47.502415,1,3,4,10.867578,7,1.0,0.0,0.0,0
47,38.838345,0,3,4,13.924479,1,0.66374475,0.0,0.0,0
48,33.037064,1,2,5,13.658489,3,0.0,0.0,0.0,0
49,33.983044,0,4,3,3.5240326,3,0.55162555,0.0,0.0,0
50,41.936935,1,3,4,15.358593,4,1.0,0.0,0.0,0
51,52.75315,0,3,3,14.638888,6,0.7514368,0.0,0.0,0
52,44.542896,0,3,2,2.2597675,7,0.7603452,0.0,0.0,0
53,56.13208,1,2,2,9.978634,5,0.8181869,0.0,0.0,0
54,54.38665,1,4,2,18.389433,7,1.0,0.0,0.0,0
55,41.829914,1,2,4,6.2765965,3,0.5266954,0.0,0.0,0
56,33.357216,0,2,3,12.982029,2,0.045271873,0.0,0.0,0
57,41.480476,1,3,4,13.424965,2,0.54926705,0.0,0.0,0
58,36.538723,1,2,6,10.012076,4,0.39301533,0.0,0.0,0
59,28.860405,1,4,3,13.596584,2,0.768458,0.0,0.0,0
60,29.277794,1,2,3,15.0896225,3,0.6656845,0.0,0.0,0
61,43.14283,0,2,2,5.299818,4,0.49227488,0.0,0.0,0
62,51.069534,0,3,3,10.806558,6,0.7513669,0.0,0.0,0
